CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,PREP_MENSUAL
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,2,73
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,3,58
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,4,65
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,11,3
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,12,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,1,67
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,2,19.6
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,3,5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,4,8
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,5,2
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,6,16
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,10,2
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,11,9
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1990,12,69
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,1,92
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,2,30
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,3,27
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,4,10
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,10,2
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,11,5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1991,12,1
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,1,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,2,3
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,3,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,10,7
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,11,27
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1992,12,54
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1993,1,145
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1993,2,19
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1993,3,57
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1993,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1993,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1993,8,64
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1993,11,15.8
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1993,12,31
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1994,1,40.2
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1994,2,96.8
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1994,4,16.7
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1994,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1994,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1994,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1994,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1995,2,31
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1995,3,143.3
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1995,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1995,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1995,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1995,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1995,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1995,12,21
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,1,62.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,2,27
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,3,52.3
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,11,18.9
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1996,12,30.4
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,1,150.8
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,2,113.1
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,3,3.6
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,8,28
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,9,14.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1997,12,42
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1998,1,129.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1998,2,26.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1998,3,9
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1998,4,0
