CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,TEMP_MEDIA_MENSUAL,Unidad
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,9,3.5,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,10,5.6,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,11,5.5,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,12,4.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,1,8.6,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,2,-5.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,3,-3.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,6,-1.5,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,7,-1.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,8,1.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,9,1.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,10,4.6,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,11,5.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1990,12,3.0,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1993,8,1.0,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1993,9,3.6,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1994,3,4.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1994,6,0.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1994,7,0.8,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1994,10,3.6,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1994,11,3.8,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1997,11,2.1,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1997,12,3.3,°C
